Location,Number of Copies
Amherst College,1
Anne and Roger Cognard Collection,12
Arundel Castle,1
Auckland Public Library,6
Bayerische Staatsbibliothek (Bavarian State Library),1
Belfast Central Library,1
"Biblioteca Universitaria, Padova (University of Padua)",1
"Bibliothèque de l'agglomération de Saint-Omer (Library of Saint-Omer, France)",1
Bibliothèque nationale de France (National Library of France),20
Book Club of California,4
Boston Athenaeum,2
Boston Public Library,69
Boston University,4
Bowdoin College,2
Brandeis University,1
Brigham Young University,5
British Library,177
"Brown University, John Hay Library",7
Bryn Mawr College,5
Bucknell University,6
Buffalo and Erie County Public Library,5
"Bute Collection at Mount Stuart, Mount Stuart Trust, Isle of Bute",4
"California State Library, Sutro",7
"California State University, Northridge",1
Cambridge University,10
"Cambridge University, Emmanuel College",1
"Cambridge University, English Faculty",1
"Cambridge University, Fitzwilliam Museum",2
"Cambridge University, King's College",12
"Cambridge University, Magdalene College",3
"Cambridge University, Pembroke College",1
"Cambridge University, Queens' College",4
"Cambridge University, St. Catharine's College",1
"Cambridge University, St. John's College",3
"Cambridge University, Trinity College",87
Canterbury Cathedral,2
Cardiff University,14
Carnegie Mellon University,16
Case Western Reserve,5
Charlecote House,2
Charleston Library Society,3
"Chetham's Library, Manchester",1
Cincinnati and Hamilton County Public Library,2
Claremont Colleges,7
Colby College,1
"Colgate University, Case Library",4
Columbia University,9
Cornell University,5
"Craven Museum, Skipton",1
Dallas Public Library,5
Dartmouth College,57
Detroit Public Library,3
Duke University,2
Dulwich College,1
Durham University,1
Earl of Macclesfield,1
Edinburgh Napier University,1
Edinburgh University,68
Emory University,1
Eton College,28
Folger Shakespeare Library,656
Fordham University,1
Free Library of Philadelphia,5
Georgetown University,1
Gloucester Cathedral,1
Gordon College,2
Goucher College,1
Guildhall Library,6
Hamburg Staats- und Universitatsbibliothek (Hamburg State and University Library),1
"Harvard University, Houghton Library",85
Haverford College,12
Henry E. Huntington Library and Art Gallery,164
"Herzog August Library, Wolfenbüttel",1
Hill Museum & Manuscript Library,1
Hofstra University,2
Hollins University,1
House of Lords Library,1
Indianapolis Public Library,2
"Indiana University, Lilly Library",7
John Carter Brown Library,6
"John Rylands Library, University of Manchester",8
Johns Hopkins University,8
John Wolfson collection,14
Kansas State University,1
Kennesaw State University,1
"Konan Women’s University, Kobe",1
"Kongelige Bibliotek (Royal Library, Denmark)",2
Kyoto University of Foreign Studies,1
Lambeth Palace Library,1
Legislative Library of British Columbia,3
Lehigh University,5
Library Company of Philadelphia,1
Library of Birmingham,28
London Library,1
Longleat House (Marquess of Bath),3
Loras College (Iowa),1
Louisiana State University,1
"Loyola Marymount University, Charles Von der Ahe Library",5
Marquess of Northampton,1
Marshall University,1
Marsh's Library,1
"Martin Bodmer Foundation, Geneva",42
Massachusetts Institute of Technology,2
McGill University,4
"Meisei University, Kodama Memorial Library",116
Miami University,4
Michigan State University,2
Middle Temple,1
"Midwestern State University, Texas",2
"Mills College, F. W. Olin Library",4
"Mitchell Library, Glasgow",1
"Mona (Museum of Old and New Art), Australia",1
Morgan Library & Museum,31
Mount Holyoke College,1
"Museum of Fine Arts, Houston",1
National Library of Ireland,1
National Library of Israel,4
National Library of New Zealand,3
National Library of Scotland,51
National Library of South Africa,1
National Library of Wales,2
"National Trust, Ickworth House",1
"National Trust, Petworth",13
Newberry Library,28
New York Public Library,74
"New York Public Library, Berg Collection",10
New York Society Library,1
Niedersachsische Staats- und Universitatsbibliothek Göttingen (Göttingen State and University Library),1
Noble and Greenough School (MA),4
Northwestern University,3
Norwich Cathedral,1
Occidental College,2
Odessa Mechnikov National University,1
Ohio State University,15
Ohio Wesleyan University,1
