SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
1402,1138,818,Romeo and Juliet,1637
1398,1143,822,Romeo and Juliet,1637
630,616,427,The Merchant of Venice,1600
663,647,445,The Merchant of Venice,1619
738,695,487,The Merry Wives of Windsor,1619
758,736,0,The Merry Wives of Windsor,1630
762,730,515,The Merry Wives of Windsor,1630
717,700,490,The Merry Wives of Windsor,1619
1527,1193,864,Titus Andronicus,1611
1227,993,704,Richard II,1615
816,794,0,Much Ado About Nothing,1600
687,654,451,The Merchant of Venice,1637
1372,1129,0,Romeo and Juliet,1623
1379,1130,810,Romeo and Juliet,1623
1366,1122,804,Romeo and Juliet,1609
1231,995,702,Richard II,1615
820,792,563,Much Ado About Nothing,1600
861,840,603,Othello,1630
1491,1184,856,The Taming of a/the Shrew,1631
1492,1166,839,The Taming of a/the Shrew,1631
866,846,0,Othello,1630
1477,1170,843,The Taming of a/the Shrew,1631
1553,1213,0,Troilus and Cressida,1609
1551,1219,885,Troilus and Cressida,1609
1555,1221,0,Troilus and Cressida,1609
1358,1106,790,Romeo and Juliet,1599
791,773,552,A Midsummer Night's Dream,1619
1198,966,674,Richard II,1597
1300,1064,755,Richard III,1622
1237,1020,720,Richard II,1634
1247,1016,718,Richard II,1634
1249,1001,0,Richard II,1634
1230,989,696,Richard II,1615
502,535,0,King Lear,1619
505,531,350,King Lear,1619
1207,972,677,Richard II,1598
1211,977,684,Richard II,1608
1299,1059,751,Richard III,1622
1325,1087,773,Richard III,1634
202,218,126,1 Henry IV,1599
272,287,193,1 Henry IV,1639
196,212,128,1 Henry IV,1599
195,211,127,1 Henry IV,1599
1315,1067,758,Richard III,1629
280,292,0,1 Henry IV,1639
1276,1038,0,Richard III,1602
239,244,155,1 Henry IV,1622
226,232,145,1 Henry IV,1613
315,359,240,Henry V,1619
1277,1041,0,Richard III,1605
1281,1045,739,Richard III,1605
1333,1095,785,Richard III,1634
301,334,218,2 Henry IV,1600
223,238,151,1 Henry IV,1613
291,335,220,2 Henry IV,1600
1270,1031,728,Richard III,1598
50,10,9,Hamlet,1611
307,345,228,Henry V,1600
501,527,347,King Lear,1619
1272,1035,734,Richard III,1602
507,509,331,King Lear,1619
92,49,0,Hamlet,1637
488,513,335,King Lear,1619
75,32,27,Hamlet,1625
517,533,0,King Lear,1619
65,37,33,Hamlet,1625
74,45,0,Hamlet,1625
666,629,439,The Merchant of Venice,1619
480,496,321,King Lear,1608
468,484,0,Julius Caesar,1695
534,541,0,King Lear,1655
414,418,306,Julius Caesar,1691
943,895,0,Othello,1687
132,106,0,Hamlet,1683
426,443,0,Julius Caesar,1691
411,432,320,Julius Caesar,1691
420,445,0,Julius Caesar,1691
124,98,71,Hamlet,1683
178,143,0,Hamlet,1695
612,597,406,Macbeth,1673
616,601,0,Macbeth,1673
619,596,405,Macbeth,1673
611,595,404,Macbeth,1673
168,135,0,Hamlet,1695
529,550,372,King Lear,1655
186,150,0,Hamlet,1695
450,495,0,Julius Caesar,1695
466,480,0,Julius Caesar,1695
520,540,359,King Lear,1655
143,113,82,Hamlet,1683
106,83,64,Hamlet,1676
876,856,614,Othello,1655
389,412,0,Julius Caesar,1684
941,900,0,Othello,1687
910,884,0,Othello,1681
162,130,86,Hamlet,1683
147,116,84,Hamlet,1683
899,875,629,Othello,1681
873,849,0,Othello,1655
893,850,612,Othello,1655
471,473,0,Julius Caesar,1695
977,936,656,Othello,1695
945,904,644,Othello,1687
382,406,0,Julius Caesar,1684
242,257,167,1 Henry IV,1632
276,273,0,1 Henry IV,1639
253,268,0,1 Henry IV,1632
155,126,0,Hamlet,1683
1303,1058,750,Richard III,1622
